1-2	with,a,pistol
1-4	on,may,17
1-5	on,17,1998
2-10	and
2-12	and
2-13	and
2-14	and
2-15	and
2-16	and
2-17	and
2-18	and,industrial,relations
2-21	industrial,relations
2-22	and
2-23	industrial,relations
2-24	industrial,relations
4-5	writer
4-6	writer,and
4-8	and
5-0	secretary,/,music
5-1	secretary
5-2	secretary
5-3	secretary
5-4	secretary,/,music
5-5	secretary,/,music
5-6	secretary,/,music
5-10	congregation
5-13	congregation
10-12	a,hunter,become,to
10-14	killian,by,become,to
10-15	though
13-0	.
13-15	return
13-16	return
14-1	bipasha,basu,.
14-4	bipasha,basu,.,and
14-5	.
14-8	.,and
14-9	and
14-10	.,and
14-12	.,and
14-13	and,.
15-0	.
15-1	.
15-2	.
17-0	and
17-1	and
17-4	and
18-0	april,28,1888
18-2	april,1938
18-3	april
18-4	april
18-12	1888
18-19	1938
19-0	located
19-2	located
19-4	located,in,what
19-5	located,.
20-1	.
20-2	.
20-3	.
20-4	.
20-5	.
20-6	.
20-7	.
20-10	.
21-2	.
21-3	.
21-4	.
21-7	iidale,at,.
21-8	iidale,at,.
21-9	iidale,at,.
21-10	iidale,at,.
21-11	dinsoor,iidale,at,.
21-12	dinsoor,iidale,at,.
21-13	dinsoor,iidale,at,.
21-14	dinsoor,iidale,at,.
21-16	.
21-18	.
22-2	another,version,was,filmed
22-3	another,version,was,filmed
22-5	story,was,filmed
22-6	story,was,filmed
22-7	filmed
22-8	filmed
22-9	was,filmed
24-21	d.c.,states,with,office
24-22	d.c.,states,with,office
24-24	d.c.,states,with,office
24-25	d.c.,states,with,office
24-27	united,states,with,office
24-28	united,states,with,office
24-29	regional,office
24-30	regional,office
24-31	office,with,states,d.c.
25-8	81
25-12	1
25-13	occurred,.,08
25-15	1
25-16	occurred,.,08
25-17	occurred,.
30-8	.,d
30-10	.,d
30-11	.,d
30-12	.,d
30-13	.,d
30-14	.,d
30-15	.,d
30-16	.,d
30-17	d
30-18	d
30-19	d,.
30-20	d
30-21	d
30-22	d
30-23	.
