0	"Henry"	"was"	"Governor Edwin Washington Edwards's choice"
0	"Governor Edwin Washington Edwards's choice"	"for"	"Speaker"
1	"Mrs. Yogeswaran"	"was shot on 17"	"May"
1	"Mrs. Yogeswaran"	"was shot with pistol near"	"her Jaffna home"
1	"a pistol"	"near"	"her Jaffna home"
2	"Girard"	"has"	"a bachelor's degree"
2	"the master's degree"	"in"	"industrial relations"
2	"Girard"	"has and did"	"studies"
2	"Girard"	"has and did studies for"	"the master's degree"
2	"Girard"	"has degree in sciences at"	"the Universite de Montreal"
2	"Girard"	"has degree in"	"political sciences"
2	"studies"	"for degree in"	"industrial relations"
2	"political sciences"	"at"	"the Universite de Montreal"
2	"a bachelor's degree"	"in sciences at"	"the Universite de Montreal"
2	"studies"	"for"	"the master's degree"
2	"Girard"	"has and did studies for degree in"	"industrial relations"
2	"a bachelor's degree"	"in"	"political sciences"
3	"It"	"was on"	"the Billboard 200 chart"
3	"It"	"was on chart 200"	"Billboard"
4	"Robert Barnard"	"is writer"	"critic"
4	"born 23 November 1936 )"	"is"	"an English crime writer"
4	"an English crime writer"	"writer"	"critic"
4	"November"	"1936 is"	"an English crime writer"
4	"born 23 November 1936 )"	"is writer"	"critic"
4	"born 23 November 1936 )"	"is writer critic and"	"lecturer"
4	"an English crime writer"	"critic and"	"lecturer"
4	"November"	"1936 is writer"	"critic"
4	"critic"	"and"	"lecturer"
4	"Robert Barnard"	"is writer critic and"	"lecturer"
5	"Anne"	"Anne"	"Susan Clark"
5	"Susan Clark"	"is wary of changes for congregation intended by"	"Hill"
5	"The secretary / music director"	"is wary of changes for"	"the congregation"
5	"The secretary"	"director for"	"the church"
5	"Anne"	"is wary of"	"changes"
5	"The secretary / music director"	"for"	"the church"
5	"The secretary"	"is wary of"	"changes"
5	"changes"	"for congregation intended by"	"Hill"
5	"Anne"	"is wary of changes for"	"the congregation"
5	"The secretary"	"is wary of changes for congregation intended by"	"Hill"
5	"the congregation"	"intended by"	"Hill"
5	"changes"	"for"	"the congregation"
5	"Susan Clark"	"is wary of changes for"	"the congregation"
5	"The secretary"	"is wary of changes for"	"the congregation"
5	"The secretary / music director"	"is wary of"	"changes"
5	"Susan Clark"	"is wary of"	"changes"
5	"The secretary / music director"	"is wary of changes for congregation intended by"	"Hill"
5	"Anne"	"is wary of changes for congregation intended by"	"Hill"
6	"Region"	"1"	"DVD"
6	"Maple Drive "	"was released on 1"	"Region"
6	"Maple Drive "	"was released on 7"	"September"
6	"Time"	"was released on 1"	"Region"
6	"Maple Drive "	"was released on 1"	"DVD"
6	"Time"	"was released on 1"	"DVD"
6	"Time"	"was released on 7"	"September"
7	"an altitude"	"of above"	"sea level"
7	"It"	"comprises and includes mountains reaching altitude of above"	"sea level"
7	"It"	"comprises and includes"	"mountains"
7	"It"	"comprises and includes mountains reaching"	"an altitude"
7	"mountains"	"reaching altitude of above"	"sea level"
7	"mountains"	"reaching"	"an altitude"
8	"He"	"starred in"	"the national tour"
8	"the national tour"	"of"	"Spamalot"
8	"He"	"starred in tour of"	"Spamalot"
9	"The film"	"were criticized by"	"some religious groups"
10	"the chance"	"to become by"	"Killian"
10	"Richards"	"is accepts"	"he"
10	"Richards"	"is given chance to become"	"a Hunter"
10	"the chance"	"to become"	"a Hunter"
10	"Richards"	"is given though unlike in"	"the film"
10	"the film"	"in is given"	"the chance"
10	"the film"	"in is accepts"	"he"
10	"Richards"	"is given chance to become by"	"Killian"
